code_reg,capacite_de_production_gwh_an,augmentation_prevue
53,3.5752,Augmentation prévue
75,6.2566,Aucune augmentation supplémentaire prévue
75,23.77508,Augmentation prévue
75,19.12732,Aucune augmentation supplémentaire prévue
75,10.7256,Aucune augmentation supplémentaire prévue
75,8.4911,Aucune augmentation supplémentaire prévue
75,4.0221,Aucune augmentation supplémentaire prévue
75,19.2167,Augmentation prévue
75,15.1946,Aucune augmentation supplémentaire prévue
75,23.77508,Aucune augmentation supplémentaire prévue
75,8.938,Aucune augmentation supplémentaire prévue
75,11.44064,Augmentation prévue
75,8.938,Aucune augmentation supplémentaire prévue
75,8.938,Aucune augmentation supplémentaire prévue
75,17.876,Aucune augmentation supplémentaire prévue
75,118.4285,Aucune augmentation supplémentaire prévue
75,22.345,Aucune augmentation supplémentaire prévue
75,10.2787,Aucune augmentation supplémentaire prévue
75,15.1946,Aucune augmentation supplémentaire prévue
75,26.814,Aucune augmentation supplémentaire prévue
75,8.938,Augmentation prévue
75,16.0884,Aucune augmentation supplémentaire prévue
75,16.5353,Augmentation prévue
75,44.69,Aucune augmentation supplémentaire prévue
75,33.33874,Aucune augmentation supplémentaire prévue
75,7.1504,Aucune augmentation supplémentaire prévue
75,28.6016,Aucune augmentation supplémentaire prévue
75,22.345,Aucune augmentation supplémentaire prévue
75,250.264,Augmentation prévue
75,11.6194,Augmentation prévue
75,18.14414,Aucune augmentation supplémentaire prévue
75,10.2787,Aucune augmentation supplémentaire prévue
75,3.5752,Aucune augmentation supplémentaire prévue
75,16.9822,Augmentation prévue
75,11.6194,Aucune augmentation supplémentaire prévue
75,10.2787,Aucune augmentation supplémentaire prévue
75,107.256,Aucune augmentation supplémentaire prévue
75,22.345,Aucune augmentation supplémentaire prévue
75,10.7256,Augmentation prévue
75,26.814,Aucune augmentation supplémentaire prévue
75,10.7256,Augmentation prévue
75,8.0442,Aucune augmentation supplémentaire prévue
75,16.89282,Aucune augmentation supplémentaire prévue
76,45.04752,Augmentation prévue
76,11.1725,Aucune augmentation supplémentaire prévue
76,9.3849,Aucune augmentation supplémentaire prévue
76,16.26716,Aucune augmentation supplémentaire prévue
76,5.3628,Aucune augmentation supplémentaire prévue
76,12.5132,Augmentation prévue
76,15.1946,Aucune augmentation supplémentaire prévue
76,51.92978,Augmentation prévue
76,12.69196,Augmentation prévue
76,16.9822,Augmentation prévue
76,15.1946,Augmentation prévue
76,7.1504,Aucune augmentation supplémentaire prévue
76,27.7078,Aucune augmentation supplémentaire prévue
76,8.0442,Augmentation prévue
76,104.5746,Aucune augmentation supplémentaire prévue
76,3.1283,Aucune augmentation supplémentaire prévue
76,15.1946,Augmentation prévue
84,7.1504,Augmentation prévue
84,8.938,Augmentation prévue
84,13.407,Aucune augmentation supplémentaire prévue
