tri;annee;perimetre_juridique;legal_perimeter;perimetre_spatial;spatial_perimeter;filiere;sector;type_d_energie;type_of_energy;capacite_maximale_de_production;unite;methode_de_consolidation;consolidation_method;commentaire
199;2019;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Eolien;Wind;Electrique;Electric;1503.26576;MWe;Nette;Net;
200;2019;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Solaire;Solar;Electrique;Electric;260.29741904;MWe;Nette;Net;
201;2019;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Biomasse;Biomass;Electrique;Electric;230.824776;MWe;Nette;Net;
202;2019;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Energie marine;Marine energy;Electrique;Electric;240.0;MWe;Nette;Net;
203;2019;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Divers;Various;Electrique;Electric;58.235038;MWe;Nette;Net;
204;2019;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Charbon;Coal;Chaleur;Heat;140.935388;MWth;Nette;Net;
205;2019;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Fioul;Fioul;Chaleur;Heat;926.463788;MWth;Nette;Net;
206;2019;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Gaz;Gas;Chaleur;Heat;20157.678132;MWth;Nette;Net;
207;2019;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Autres ENR;Other Renewable Energies;Chaleur;Heat;2441.173142;MWth;Nette;Net;
208;2019;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Divers;Various;Chaleur;Heat;6277.221406;MWth;Nette;Net;
209;2019;Groupe;Group;Grèce;Greece;Gaz;Gas;Electrique;Electric;394.6773725;MWe;Nette;Net;
210;2019;Groupe;Group;Grèce;Greece;Eolien;Wind;Electrique;Electric;238.2;MWe;Nette;Net;
211;2019;Groupe;Group;Grèce;Greece;Solaire;Solar;Electrique;Electric;12.09;MWe;Nette;Net;
212;2019;Groupe;Group;Inde;India;Eolien;Wind;Electrique;Electric;176.5;MWe;Nette;Net;
213;2019;Groupe;Group;Inde;India;Solaire;Solar;Electrique;Electric;99.68;MWe;Nette;Net;
214;2019;Groupe;Group;Israël;Israel;Solaire;Solar;Electrique;Electric;192.5;MWe;Nette;Net;
215;2019;Groupe;Group;Italie;Italy;Gaz;Gas;Electrique;Electric;4455.20464817;MWe;Nette;Net;
216;2019;Groupe;Group;Italie;Italy;Hydraulique;Hydraulic;Electrique;Electric;911.332341802;MWe;Nette;Net;
217;2019;Groupe;Group;Italie;Italy;Eolien;Wind;Electrique;Electric;407.222093524;MWe;Nette;Net;
218;2019;Groupe;Group;Italie;Italy;Solaire;Solar;Electrique;Electric;82.2962580942;MWe;Nette;Net;
